712592452 21
1.0 0.0 
1 0 
ACTION_LEFT ACTION_DOWN 
ACTION_LEFT ACTION_NIL 
ACTION_LEFT ACTION_LEFT 
ACTION_LEFT ACTION_NIL 
ACTION_LEFT ACTION_UP 
ACTION_LEFT ACTION_UP 
ACTION_LEFT ACTION_DOWN 
ACTION_LEFT ACTION_RIGHT 
ACTION_LEFT ACTION_UP 
ACTION_LEFT ACTION_DOWN 
ACTION_LEFT ACTION_NIL 
ACTION_LEFT ACTION_DOWN 
ACTION_LEFT ACTION_RIGHT 
ACTION_LEFT ACTION_UP 
ACTION_LEFT ACTION_NIL 
ACTION_LEFT ACTION_NIL 
ACTION_LEFT ACTION_NIL 
ACTION_LEFT ACTION_LEFT 
ACTION_LEFT ACTION_DOWN 
ACTION_LEFT ACTION_DOWN 
ACTION_LEFT ACTION_NIL 
ACTION_LEFT ACTION_NIL 
