82555709 34
1.0 0.0 
1 0 
ACTION_NIL ACTION_UP 
ACTION_NIL ACTION_RIGHT 
ACTION_NIL ACTION_DOWN 
ACTION_NIL ACTION_NIL 
ACTION_NIL ACTION_DOWN 
ACTION_NIL ACTION_LEFT 
ACTION_NIL ACTION_NIL 
ACTION_NIL ACTION_RIGHT 
ACTION_NIL ACTION_LEFT 
ACTION_NIL ACTION_UP 
ACTION_NIL ACTION_NIL 
ACTION_NIL ACTION_UP 
ACTION_NIL ACTION_DOWN 
ACTION_NIL ACTION_UP 
ACTION_UP ACTION_LEFT 
ACTION_LEFT ACTION_LEFT 
ACTION_NIL ACTION_NIL 
ACTION_NIL ACTION_RIGHT 
ACTION_NIL ACTION_LEFT 
ACTION_NIL ACTION_UP 
ACTION_NIL ACTION_UP 
ACTION_NIL ACTION_NIL 
ACTION_NIL ACTION_UP 
ACTION_NIL ACTION_NIL 
ACTION_NIL ACTION_DOWN 
ACTION_NIL ACTION_NIL 
ACTION_NIL ACTION_UP 
ACTION_UP ACTION_RIGHT 
ACTION_NIL ACTION_NIL 
ACTION_NIL ACTION_DOWN 
ACTION_NIL ACTION_NIL 
ACTION_NIL ACTION_DOWN 
ACTION_NIL ACTION_LEFT 
ACTION_NIL ACTION_DOWN 
ACTION_NIL ACTION_LEFT 
