-275538213 120
1.0 0.0 
1 0 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_LEFT ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_LEFT ACTION_USE 
ACTION_LEFT ACTION_USE 
ACTION_USE ACTION_LEFT 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_LEFT 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_LEFT 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_LEFT ACTION_USE 
ACTION_LEFT ACTION_LEFT 
ACTION_LEFT ACTION_USE 
ACTION_LEFT ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_LEFT 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_LEFT ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_LEFT ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_LEFT 
ACTION_USE ACTION_LEFT 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_USE ACTION_USE 
ACTION_LEFT ACTION_RIGHT 
